puzzle_id,fen,moves,rating,themes
000rO,3R4/8/8/KB2b3/1p6/1P2k3/3p4/8 b - - 0 58,e5c7 a5b4 c7d8,1110,fork
000rZ,2kr1b1r/p1p2pp1/2pqN3/7p/6n1/2NPB3/PPP2PPP/R2Q1RK1 b - - 0 13,d6h2,633,mateIn1
001KR,6k1/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K w - - 0 29,f1f8,588,mateIn1
001Wz,6k1/5ppp/r1p5/p1n1rP2/8/2P2N1P/2P3P1/3R2K1 w - - 0 22,d1d8 e5e8 d8e8,1118,mateIn2
001gi,N6r/1p1k1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R b KQ - 0 18,a5c3,819,hangingPiece mateIn1
001om,5r1k/pp4pp/5p2/1BbQp1r1/7K/7P/1PP3P1/3R3R b - - 3 26,c5f2 g2g3 f2g3,1018,mateIn2
001pC,r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q2RK b - - 0 18,h3f2,870,mateIn1
001w5,1rb3k1/q4rP1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 w - - 1 30,c2h7 g8h7 g7g8q,1034,mateIn2
001wb,r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1PP1/PP4P1/R1B2R1K b kq - 0 17,g6h5,1071,mateIn1
001wr,r4rk1/p3ppbp/Pp1q1np1/3PpbB1/2B5/2N2P2/1PPQ2PP/3RR1K1 b - - 0 18,d6c5 g1h1 c5c4,1068,fork
001xl,8/4R3/p4kpp/3B4/5q2/8/5P1P/6K1 w - - 6 41,e7f7 f6e5 f7f4,1131,skewer
002CP,r5k1/pp4pp/4p1q1/4p3/3n4/P3Q1P1/1PP4P/2KR1R2 b - - 5 24,g6c2,925,mateIn1
002GQ,5rk1/5ppp/4p3/4N3/8/1Pn5/5PPP/2R3K1 b - - 1 28,c3e2 g1f1 e2c1,654,fork
002HE,1qr2rk1/1p1p1ppp/pB2p1n1/7n/2P1P3/1Q2NP1P/PP2BKPb/3R1R2 b - - 2 20,b8g3,1116,mateIn1
002IE,r3brk1/5pp1/p2qpn1p/P2pn3/2pP4/2P1PN2/5PPP/RB1QK2R w KQ - 0 17,d4e5 d6e7 e5f6,1229,fork
002Mm,rn1qrk2/ppp3pQ/3p1pP1/3Pp3/2P1P3/8/PP3PP1/R1B1K3 w Q - 3 17,h7h8 f8e7 h8g7,921,mateIn2
002Q2,7k/p4R1p/3p3B/2pN1n2/2PbB1b1/3P2P1/P3r3/5R1K b - - 0 28,f5g3,911,mateIn1
002X3,6k1/2q2p1p/4pPp1/4P3/p1pP1P2/r1P5/6QP/4B1K1 w - - 0 34,g2a8 c7b8 a8b8,970,mateIn2
002Z9,4r1k1/1p2R1p1/p2p2Pp/P1pP4/8/1R3p2/1P1q3P/5B1K w - - 0 35,e7e8,1231,hangingPiece mateIn1
002bK,8/7p/4k3/pb1p1pPB/1n1P3P/N1p1P3/4K3/8 w - - 2 43,a3b5 c3c2 e2d2,1113,hangingPiece
002p5,r1bqr1k1/pp1nbpp1/2p5/3n2P1/2BP4/P7/1PQNNPP1/R3K2R w KQ - 1 14,c2h7 g8f8 h7h8,908,mateIn2
002vV,8/6k1/1R5p/5p1P/5P1K/6P1/8/r7 b - - 3 58,a1h1,564,mateIn1
0030b,6k1/5ppp/5n2/pp6/4b1rP/5N1Q/Pq2r1P1/3R2RK w - - 5 33,d1d8 f6e8 d8e8,538,mateIn2
003Jb,6k1/Q2bqr1p/2rpp1pR/p7/Pp2P3/1B3P2/1PP3P1/2KR4 b - - 7 22,e7g5 c1b1 g5h6,993,fork
003jb,r3kb1r/p4ppp/b3p3/2pq4/3Q4/4BN2/PPP2PPP/R3K2R w KQkq - 0 12,d4a4 a6b5 a4b5,961,fork
003jv,7R/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 b - - 11 37,d6f7 e5e4 f7h8,1006,fork
003nQ,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R5RK b - - 3 29,f5g3 f2g3 g8g3,1286,pin
003o0,r1bqk2r/pp1nbppp/3p4/1B1p4/3P1B2/5N2/PPP2PPP/R2QK2R b KQkq - 3 9,d8a5 d1d2 a5b5,1002,fork
003r5,r2qr1k1/ppp2ppp/4P3/8/1nP2Q2/2N2N1P/PP3KP1/R4R2 b - - 0 15,b4d3 f2g1 d3f4,1107,fork
